Datum	11.05.12	
Probenkennz.	PBT wei§	
Geschwindigkeit	20	mm/min
Kraftmaximum	2359,41	N
Probenhšhe a0	3,95	mm
Probenbreite b0	10,4	mm
LŠnge l0	70	mm
Probenhšhe aU NACH ZUGVERSUCH	3,27	mm
Probenbreite bU NACH ZUGVERSUCH	8,55	mm
LŠnge lU NACH ZUGVERSUCH	76,4	mm
Standardweg	Standardkraft	
mm	N	
4,19963	2313,86	
4,21293	2317	
4,22624	2319,93	
4,24039	2322,83	
4,2529	2325,3	
4,26625	2327,84	
4,2796	2330,28	
4,29295	2332,58	
4,30626	2334,73	
4,31961	2336,74	
4,33291	2338,71	
4,34622	2340,63	
4,35952	2342,44	
4,37377	2344,28	
4,38632	2345,87	
4,39963	2347,32	
4,41293	2348,64	
4,42624	2349,82	
4,43954	2350,94	
4,45289	2352,06	
4,46624	2353,18	
4,4796	2353,94	
4,49295	2354,73	
4,50625	2355,49	
4,51956	2356,18	
4,53956	2356,97	
4,55291	2357,47	
4,56631	2357,93	
4,57962	2358,39	
4,59292	2358,72	
4,60623	2358,95	
4,61953	2359,18	
4,63293	2359,25	
4,64624	2359,35	
4,66629	2359,41	
4,67959	2359,28	
4,6929	2359,18	
4,7062	2359,05	
4,71951	2358,95	
4,7329	2358,75	
4,74626	2358,72	
4,75961	2358,46	
4,77296	2358,13	
4,79292	2357,76	
4,80622	2357,4	
4,81957	2356,97	
4,83297	2356,64	
4,84628	2356,31	
4,85963	2355,85	
4,87289	2355,42	
4,88629	2354,96	
4,90039	2354,47	
4,91294	2354,04	
4,92625	2353,51	
4,9396	2353,02	
4,95295	2352,52	
4,96626	2352,1	
4,97961	2351,47	
4,99287	2350,94	
5,00622	2350,38	
5,01957	2349,82	
5,03297	2349,36	
5,04627	2348,93	
5,06628	2348,24	
5,07958	2347,68	
5,09284	2347,05	
5,10624	2346,46	
5,11964	2345,9	
5,13294	2345,34	
5,14625	2344,84	
5,1596	2344,28	
5,17295	2343,82	
5,18621	2343,39	
5,20626	2342,7	
5,21957	2342,24	
5,23297	2341,81	
5,24622	2341,32	
5,25962	2340,86	
5,27288	2340,3	
5,28618	2339,77	
5,29958	2339,28	
5,31374	2338,75	
5,32624	2338,22	
5,33959	2337,82	
5,35299	2337,36	
5,36625	2336,97	
5,37955	2336,64	
5,39291	2336,14	
5,40626	2335,72	
5,41956	2335,35	
5,43296	2334,89	
5,44627	2334,36	
5,45952	2333,84	
5,47953	2333,14	
5,49288	2332,72	
5,50623	2332,35	
5,51963	2332,02	
5,53294	2331,69	
5,54629	2331,37	
5,55955	2331,04	
5,57285	2330,64	
5,5871	2330,31	
5,5996	2329,92	
5,61291	2329,59	
5,62626	2329,16	
5,63956	2328,73	
5,65292	2328,37	
5,66622	2328,1	
5,67957	2327,77	
5,69292	2327,51	
5,70628	2327,25	
5,71963	2327,01	
5,73958	2326,65	
5,75289	2326,36	
5,76624	2325,99	
5,77959	2325,63	
5,7929	2325,4	
5,80625	2325,07	
5,8196	2324,71	
5,83291	2324,44	
5,84621	2324,11	
5,86622	2323,69	
5,87961	2323,49	
5,89292	2323,29	
5,90627	2323,09	
5,91962	2322,76	
5,93293	2322,57	
5,94623	2322,37	
5,95954	2322,04	
5,97289	2321,81	
5,98629	2321,51	
6,00629	2321,18	
6,0196	2320,88	
6,0329	2320,65	
6,04621	2320,42	
6,05956	2320,29	
6,07291	2320,09	
6,08631	2319,9	
6,09962	2319,67	
6,11377	2319,47	
6,12622	2319,3	
6,13958	2319,01	
6,15293	2318,84	
6,16633	2318,61	
6,17963	2318,45	
6,19289	2318,28	
6,20624	2318,15	
6,21955	2317,95	
6,2396	2317,72	
6,25295	2317,59	
6,26625	2317,49	
6,27961	2317,26	
6,29296	2316,96	
6,30626	2316,7	
